Año,Semana,Día,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2021,35,4,142,214,127,225,131,96,3194,401,358,198,722,357,359,994,1429,389,199,223,1274,390,648,486,300,657,205,449,1027,662,160,777,360,166
2021,35,5,118,178,140,180,121,85,3100,318,347,173,707,373,298,950,1392,366,174,232,1248,332,658,502,205,558,189,363,1073,515,182,732,339,140
2021,35,6,133,139,97,157,122,61,3182,298,300,211,676,201,295,859,1369,326,177,243,1190,331,617,471,199,571,196,395,1054,514,138,723,321,164
2021,35,7,23,61,36,90,62,27,1687,132,122,24,268,110,137,316,511,125,92,81,384,216,316,138,118,315,118,140,460,238,96,443,128,48
2021,36,1,31,34,31,64,54,22,735,99,138,31,316,109,141,245,321,114,55,60,310,144,262,122,127,152,50,119,250,191,50,326,80,31
2021,36,2,186,193,150,234,138,111,3129,399,317,221,997,243,348,1071,1473,375,190,236,1451,420,570,528,238,591,119,458,1280,614,160,795,377,161
2021,36,3,116,127,92,214,130,88,2575,371,275,195,827,235,329,989,1281,345,140,198,1167,433,615,477,227,521,170,342,1197,572,169,680,405,136
2021,36,4,97,137,90,191,122,82,2484,376,313,191,719,296,285,878,1171,297,166,211,1053,401,551,453,200,486,161,371,1105,582,140,662,375,114
2021,36,5,148,145,93,173,105,103,2475,364,250,180,743,250,272,916,1091,318,158,159,834,362,524,420,162,435,154,358,957,504,163,671,326,129
2021,36,6,124,134,56,102,111,78,2489,348,259,155,626,243,245,812,1065,271,149,172,796,339,581,406,166,410,160,345,950,524,143,646,344,104
2021,36,7,35,51,34,65,61,36,1392,158,137,53,280,87,112,298,495,118,87,84,249,212,266,147,90,238,73,92,529,222,90,417,112,47
2021,37,1,20,49,21,62,44,21,681,123,127,44,217,76,101,273,290,114,97,57,199,123,191,119,78,86,44,88,199,182,65,306,78,26
2021,37,2,106,172,87,185,141,110,2591,360,266,190,917,261,309,1130,1451,358,230,183,973,397,665,504,191,495,163,337,1159,608,187,709,438,132
2021,37,3,112,147,81,161,134,87,2094,378,234,158,713,199,229,926,1393,307,182,179,891,346,577,358,149,374,165,294,971,498,149,588,304,90
2021,37,4,89,152,70,134,89,90,1813,295,244,140,643,153,179,838,1177,310,205,122,791,280,525,364,157,380,137,281,910,499,148,551,345,92
2021,37,5,93,140,64,134,99,75,2053,243,205,156,666,161,207,829,1337,249,163,123,696,298,570,362,120,340,147,279,793,426,119,568,349,91
2021,37,6,111,112,45,92,105,73,2044,249,213,123,695,183,157,874,1422,257,190,104,665,274,470,269,140,372,102,281,817,409,119,486,334,98
